Date,EURUSD,EURJPY,EURGBP,EURCHF,EURAUD,EURCAD,EURNZD,USDJPY,USDGBP,USDCHF,USDAUD,USDCAD,USDNZD,JPYGBP,JPYCHF,JPYAUD,JPYCAD,JPYNZD,GBPCHF,GBPAUD,GBPCAD,GBPNZD,CHFAUD,CHFCAD,CHFNZD,AUDCAD,AUDNZD,CADNZD
2021-08-02,1.186704158782959,130.18099975585938,0.8538699746131897,1.0749200582504272,1.616070032119751,1.4788999557495117,1.701200008392334,109.70600128173828,0.7196199893951416,0.9059100151062012,1.3619699478149414,1.2466700077056885,1.4337120056152344,0.006539999973028898,0.008256999775767326,0.012396000325679779,0.011358999647200108,0.013059999793767929,1.2587499618530273,1.8925000429153442,1.7322399616241455,1.9921300411224365,1.5032600164413452,1.3760000467300415,1.582450032234192,0.9152200222015381,1.0526020526885986,1.149839997291565
2021-08-03,1.1874650716781616,129.74400329589844,0.8547000288963318,1.0745999813079834,1.6131900548934937,1.4842599630355835,1.6993399858474731,109.26899719238281,0.7197999954223633,0.905269980430603,1.358585000038147,1.2501100301742554,1.431190013885498,0.006568999961018562,0.00828499998897314,0.012411000207066536,0.011436999775469303,0.013086000457406044,1.257449984550476,1.8870600461959839,1.73635995388031,1.9879599809646606,1.500540018081665,1.3807100057601929,1.580780029296875,0.9200500249862671,1.0535199642181396,1.1447499990463257
2021-08-04,1.1869436502456665,129.36099243164062,0.8527899980545044,1.0727900266647339,1.604580044746399,1.487529993057251,1.684749960899353,108.99099731445312,0.718500018119812,0.9038199782371521,1.3519359827041626,1.2533299922943115,1.4192899465560913,0.006572999991476536,0.008293000049889088,0.012387000024318695,0.011494999751448631,0.013015000149607658,1.257789969444275,1.8813999891281128,1.7441099882125854,1.9751299619674683,1.495609998703003,1.3865100145339966,1.5701600313186646,0.9269840121269226,1.049805998802185,1.1323000192642212
2021-08-05,1.1837401390075684,129.6479949951172,0.8521599769592285,1.073099970817566,1.6034200191497803,1.4845999479293823,1.6803900003433228,109.52899932861328,0.7199199795722961,0.9064000248908997,1.35446298122406,1.2545000314712524,1.4196300506591797,0.006552999839186668,0.008276999928057194,0.012347999960184097,0.011451000347733498,0.012955999933183193,1.2589999437332153,1.8812899589538574,1.7423399686813354,1.9716800451278687,1.4929829835891724,1.3835699558258057,1.565690040588379,0.9257559776306152,1.0479600429534912,1.1314799785614014
2021-08-06,1.1835720539093018,129.875,0.8495699763298035,1.072700023651123,1.5984100103378296,1.478600025177002,1.6789699792861938,109.75199890136719,0.7179999947547913,0.906499981880188,1.3508039712905884,1.2501300573349,1.4187400341033936,0.006521999835968018,0.008259999565780163,0.012288999743759632,0.011385999619960785,0.01291900034993887,1.262619972229004,1.8812099695205688,1.7409499883651733,1.9758700132369995,1.4883170127868652,1.378659963607788,1.5646799802780151,0.9253900051116943,1.0502400398254395,1.1347600221633911
2021-08-09,1.1749500036239624,129.52000427246094,0.8471999764442444,1.075659990310669,1.6009999513626099,1.4765000343322754,1.6793999671936035,110.25900268554688,0.7210599780082703,0.9156000018119812,1.3628000020980835,1.2570899724960327,1.4299399852752686,0.006519999820739031,0.008303999900817871,0.012342999689280987,0.011397999711334705,0.012961000204086304,1.2696000337600708,1.89028000831604,1.7432299852371216,1.9831500053405762,1.488582968711853,1.3728200197219849,1.5617599487304688,0.9221050143241882,1.0486420392990112,1.137470006942749
2021-08-10,1.17384672164917,129.45599365234375,0.8474000096321106,1.080780029296875,1.6010099649429321,1.4754999876022339,1.6783499717712402,110.30599975585938,0.7220699787139893,0.9205999970436096,1.3640700578689575,1.2573800086975098,1.430209994316101,0.006527000106871128,0.008346999995410442,0.012349000200629234,0.011396000161767006,0.01295899972319603,1.2749099731445312,1.8889800310134888,1.7410600185394287,1.9803800582885742,1.4803849458694458,1.3653700351715088,1.552899956703186,0.921720027923584,1.0483100414276123,1.1371999979019165
2021-08-11,1.172333002090454,129.61700439453125,0.8470199704170227,1.0816099643707275,1.595829963684082,1.4672199487686157,1.672819972038269,110.5979995727539,0.7227500081062317,0.9229599833488464,1.361693024635315,1.2518999576568604,1.4272500276565552,0.006513999775052071,0.008345000445842743,0.01228999998420477,0.011315999552607536,0.012893999926745892,1.2769500017166138,1.8838000297546387,1.7319899797439575,1.9739999771118164,1.47507905960083,1.3562500476837158,1.5462100505828857,0.9190899729728699,1.0482300519943237,1.1399099826812744
2021-08-12,1.1741899251937866,129.5970001220703,0.8465499877929688,1.0820200443267822,1.5929100513458252,1.4685399532318115,1.6668000221252441,110.3740005493164,0.7211400270462036,0.921459972858429,1.3560999631881714,1.2506799697875977,1.4200899600982666,0.006513999775052071,0.008348999544978142,0.012272999621927738,0.011327000334858894,0.012857000343501568,1.2775800228118896,1.8808000087738037,1.734220027923584,1.9686000347137451,1.4719090461730957,1.3569600582122803,1.5407960414886475,0.92180997133255,1.0467300415039062,1.1352699995040894
2021-08-13,1.173626184463501,129.5590057373047,0.8496800065040588,1.083240032196045,1.598620057106018,1.4693100452423096,1.6754599809646606,110.40299987792969,0.7240300178527832,0.9230599999427795,1.3621200323104858,1.2519999742507935,1.4275100231170654,0.0065379999577999115,0.008360999636352062,0.012316999956965446,0.01133699994534254,0.012919999659061432,1.2748899459838867,1.8812099695205688,1.729099988937378,1.971459984779358,1.4755569696426392,1.3561300039291382,1.5463000535964966,0.9190859794616699,1.0479099750518799,1.1400799751281738
2021-08-16,1.179467797279358,129.29100036621094,0.850629985332489,1.0794999599456787,1.6012619733810425,1.4763100147247314,1.6746000051498413,109.6240005493164,0.7213000059127808,0.9154000282287598,1.357640027999878,1.2516000270843506,1.420490026473999,0.006560000125318766,0.00834800023585558,0.012364000082015991,0.0114139998331666,0.012949000112712383,1.269029974937439,1.8818999528884888,1.7350000143051147,1.9687999486923218,1.4829399585723877,1.3672900199890137,1.5515899658203125,0.9219200015068054,1.046180009841919,1.134600043296814
2021-08-17,1.177994966506958,128.7209930419922,0.8508300185203552,1.0747900009155273,1.6047999858856201,1.4806100130081177,1.6758400201797485,109.2969970703125,0.7224000096321106,0.9125000238418579,1.3622000217437744,1.2569600343704224,1.4227800369262695,0.0065899998880922794,0.00834800023585558,0.01244600024074316,0.011497000232338905,0.013008000329136848,1.262850046157837,1.8855500221252441,1.7396800518035889,1.9688999652862549,1.4918689727783203,1.377269983291626,1.558940052986145,0.9223480224609375,1.0433000326156616,1.1316800117492676
2021-08-18,1.1709738969802856,128.2570037841797,0.8519999980926514,1.0713000297546387,1.6138399839401245,1.4784400463104248,1.690119981765747,109.53700256347656,0.7277799844741821,0.9147499799728394,1.3782459497451782,1.2626500129699707,1.4434399604797363,0.006624000146985054,0.008352000266313553,0.012564999982714653,0.011521999724209309,0.013168999925255775,1.2567399740219116,1.8932499885559082,1.734820008277893,1.9832099676132202,1.5062799453735352,1.379930019378662,1.5775099992752075,0.9160299897193909,1.0472400188446045,1.143030047416687
2021-08-19,1.1703298091888428,128.54299926757812,0.8514800071716309,1.0736000537872314,1.6184099912643433,1.4819400310516357,1.702370047569275,109.84200286865234,0.7275999784469604,0.9175599813461304,1.3829350471496582,1.2663099765777588,1.4546500444412231,0.006603999994695187,0.008352999575436115,0.012570000253617764,0.011522999964654446,0.013233000412583351,1.2609800100326538,1.9005399942398071,1.7401599884033203,1.9990700483322144,1.5069999694824219,1.379889965057373,1.585170030593872,0.9151999950408936,1.0518360137939453,1.14860999584198
2021-08-20,1.1676595211029053,128.1699981689453,0.8565800189971924,1.0729800462722778,1.6339499950408936,1.49822998046875,1.7121700048446655,109.76799774169922,0.7336300015449524,0.9189199805259705,1.39934504032135,1.2831300497055054,1.4662100076675415,0.0066639999859035015,0.008371000178158283,0.012729999609291553,0.011683999560773373,0.01334999967366457,1.25246000289917,1.9072400331497192,1.7487900257110596,1.998420000076294,1.5225600004196167,1.3961399793624878,1.595420002937317,0.916920006275177,1.0478800535202026,1.142590045928955
2021-08-23,1.1697548627853394,128.47000122070312,0.8585000038146973,1.0729000568389893,1.638100028038025,1.500059962272644,1.712280035018921,109.83999633789062,0.7339299917221069,0.9171199798583984,1.4005999565124512,1.2826000452041626,1.4639400243759155,0.006661000195890665,0.00834100041538477,0.012732000090181828,0.01167299970984459,0.013318999670445919,1.2495900392532349,1.9084800481796265,1.7472399473190308,1.994420051574707,1.526252031326294,1.3980900049209595,1.5958800315856934,0.9152929782867432,1.0449620485305786,1.1412800550460815
2021-08-24,1.1744533777236938,128.80599975585938,0.8555999994277954,1.071370005607605,1.628600001335144,1.4855999946594238,1.7036700248718262,109.6780014038086,0.7286099791526794,0.9122999906539917,1.3870400190353394,1.2651000022888184,1.4505200386047363,0.006624999921768904,0.008317000232636929,0.012628999538719654,0.011532999575138092,0.013218999840319157,1.2517000436782837,1.9036099910736084,1.7360899448394775,1.9903000593185425,1.5192949771881104,1.3867299556732178,1.5897599458694458,0.9120169878005981,1.0457199811935425,1.1462500095367432
2021-08-25,1.175309181213379,128.95700073242188,0.8562399744987488,1.0731500387191772,1.6213500499725342,1.4805400371551514,1.6940699815750122,109.7300033569336,0.7285699844360352,0.913100004196167,1.3795390129089355,1.259600043296814,1.4413199424743652,0.0066200001165270805,0.008321999572217464,0.012571999803185463,0.011478999629616737,0.01312899962067604,1.253250002861023,1.8932100534439087,1.7287700176239014,1.9781099557876587,1.5105400085449219,1.379289984703064,1.5782300233840942,0.9130200147628784,1.0447700023651123,1.144070029258728
2021-08-26,1.1774401664733887,129.4600067138672,0.8551499843597412,1.0755599737167358,1.6177599430084229,1.4818899631500244,1.6882200241088867,109.97599792480469,0.7264000177383423,0.913640022277832,1.3742680549621582,1.258870005607605,1.4341399669647217,0.006587000098079443,0.008306999690830708,0.012474999763071537,0.01144499983638525,0.013031999580562115,1.2575299739837646,1.8914999961853027,1.7326699495315552,1.9739099740982056,1.5028549432754517,1.3776799440383911,1.5694999694824219,0.9159700274467468,1.0434659719467163,1.1390800476074219
2021-08-27,1.1756407022476196,129.32000732421875,0.8578900098800659,1.0789200067520142,1.6234999895095825,1.4908900260925293,1.692430019378662,110.0479965209961,0.7297999858856201,0.9179400205612183,1.3815209865570068,1.268489956855774,1.4398200511932373,0.006612000055611134,0.00834100041538477,0.012533999979496002,0.011522999964654446,0.013074000366032124,1.257599949836731,1.8926500082015991,1.7378100156784058,1.9725300073623657,1.504770040512085,1.3816900253295898,1.568310022354126,0.9175999760627747,1.0421370267868042,1.1349200010299683
